"ID"	"chrom"	"loc.start"	"loc.end"	"num.mark"	"seg.mean"	"seg.med"	"probes.Sd"
"A549.Cell.Line"	1	564621	118167199	35629	-0.0938	-0.08675	0.970212034579033
"A549.Cell.Line"	1	118169509	155120012	2574	0.5702	0.5702	1.04648344321446
"A549.Cell.Line"	1	155130391	249198692	33035	0.9354	0.9298	0.972278559091928
"A549.Cell.Line"	2	15703	86207431	30573	1.5893	1.5738	0.97272586501758
"A549.Cell.Line"	2	86208780	243048760	43270	0.9218	0.9298	0.948019139595708
"A549.Cell.Line"	3	66866	38408459	15159	0.9463	0.9298	0.97641759692681
"A549.Cell.Line"	3	38408742	68720455	10104	-0.1021	-0.08675	1.00727169312298
"A549.Cell.Line"	3	68720845	118490636	12588	1.0039	0.9298	0.978903600519188
"A549.Cell.Line"	3	118492749	126835032	2560	0.6428	0.662899842180868	1.08258672092491
"A549.Cell.Line"	3	126835774	135283979	2550	-0.2518	-0.282877844993921	0.921822221746011
"A549.Cell.Line"	3	135285741	144362590	2510	0.2627	0.2538	1.09901174468431
"A549.Cell.Line"	3	144368743	162016445	5015	0.9998	0.9298	0.938816041836603
"A549.Cell.Line"	3	162050329	172116635	2530	0.5295	0.5702	1.16007388110236
"A549.Cell.Line"	3	172120847	197856433	7621	-0.0841	-0.08675	0.919976846294367
"A549.Cell.Line"	4	45410	190921709	55971	0.0536	-0.08675	0.96394281437637
"A549.Cell.Line"	5	36344	180692833	56383	0.9474	0.9298	0.947612402657884
"A549.Cell.Line"	6	203249	170918031	56221	0.0216	-0.08675	0.958520446598494
"A549.Cell.Line"	7	43259	159119220	46915	0.969	0.9298	0.979781835360858
"A549.Cell.Line"	8	161222	125835989	40900	0.9742	0.9298	0.947729406848511
"A549.Cell.Line"	8	125836097	146293414	7675	1.515	1.5237	0.982987649006257
"A549.Cell.Line"	9	46587	8894013	5098	0.7853	0.9298	0.954568315908109
"A549.Cell.Line"	9	8894910	14534569	2598	1.0804	1.1573	0.970801319629636
"A549.Cell.Line"	9	14534704	21855687	3381	0.8485	0.9298	0.994512175977661
"A549.Cell.Line"	9	21860428	22118102	70	-3.8569	-4.01192857490432	3.62743505109567
"A549.Cell.Line"	9	22119128	141071475	30249	0.8248	0.9298	0.933023460653616
"A549.Cell.Line"	10	104427	135434551	48164	0.9048	0.9298	0.946806147821035
"A549.Cell.Line"	11	198510	93574799	28800	0.9242	0.9298	0.969818287636742
"A549.Cell.Line"	11	93574964	134944770	15709	-0.1434	-0.08675	0.955847538612506
"A549.Cell.Line"	12	161382	6545611	2656	1.1573	1.1573	0.912511738944228
"A549.Cell.Line"	12	6545994	133777645	39849	1.3605	1.36419153080091	0.966315248467991
"A549.Cell.Line"	13	19045720	64029691	15821	-0.1059	-0.08675	0.93331549212482
"A549.Cell.Line"	13	64029710	72535301	2504	0.2449	0.2538	1.03705360421457
"A549.Cell.Line"	13	72539627	115106996	15940	-0.0358	-0.08675	0.94190735383925
"A549.Cell.Line"	14	20211644	107285437	28055	0.9232	0.9298	0.953066067470704
"A549.Cell.Line"	15	20071673	32067075	2646	1.1664	1.1573	1.23600286453354
"A549.Cell.Line"	15	32068125	39032977	2560	0.8912	0.9298	1.27026277804929
"A549.Cell.Line"	15	39033686	48724768	2639	-0.1285	-0.08675	0.993392632641601
"A549.Cell.Line"	15	48726933	56364956	2534	1.0417	0.9298	1.24236257720871
"A549.Cell.Line"	15	56370492	102400037	15660	1.5585	1.5738	1.00934144931372
"A549.Cell.Line"	16	86671	90163275	27678	0.8447	0.9298	0.932947208577989
"A549.Cell.Line"	17	6689	81049726	20613	1.5324	1.5237	0.950162202158179
"A549.Cell.Line"	18	11543	78015057	26519	0.0148	-0.08675	0.955324246943829
"A549.Cell.Line"	19	260912	17189468	2979	-0.0044	-0.08675	0.994713186616328
"A549.Cell.Line"	19	17189786	21950337	795	0.6306	0.5702	1.40079573001346
"A549.Cell.Line"	19	21951615	27828664	576	1.6281	1.73496633283963	1.32015595110359
"A549.Cell.Line"	19	27960006	47664951	4587	2.1806	2.19263693437086	1.09913199038485
"A549.Cell.Line"	19	47689921	59095126	2979	1.5738	1.5738	1.02170165065722
"A549.Cell.Line"	20	61795	23245161	10164	1.6142	1.61427534590798	0.964518167141722
"A549.Cell.Line"	20	23245270	37278569	2581	1.0238	0.9298	0.97863158155629
"A549.Cell.Line"	20	37279967	62912463	10094	0.7588	0.74519321580632	0.921794748934499
"A549.Cell.Line"	21	10913441	48084820	12542	-0.1315	-0.08675	0.968540061681554
"A549.Cell.Line"	22	16055171	51219006	11440	-0.0894	-0.08675	0.942393830393553
"A549.Cell.Line"	23	169805	155233846	36764	0.0309	-0.08675	0.960975897770382
"A549.Cell.Line"	24	2722506	28758193	288	-0.8012	-0.76181251148551	0.987510050836356
