ID;chrom;loc.start;loc.end;num.mark;seg.mean
Example;1;882803;118165973;30208;0.0283
Example;1;118166096;119534291;365;1.2952
Example;1;119535183;154853295;1868;2.5673
Example;1;154855055;156885491;278;1.9899
Example;1;156891610;187901304;9294;2.9341
Example;1;187901778;194157661;1698;3.122
Example;1;194160315;211331893;4817;2.925
Example;1;211339959;214598954;913;2.6785
Example;1;214600703;249198692;10974;2.9938
Example;2;15703;235214315;63763;0.8037
Example;2;235214807;242775910;2064;0.6753
Example;3;62614;4865633;2554;-0.0813
Example;3;4866416;197851260;52440;0.0535
Example;4;46691;190921709;52051;0.8583
Example;5;113577;180692833;49289;0.8195
Example;6;184719;18724293;7489;0
Example;6;18725668;23253861;1670;0.183
Example;6;23259149;170908114;45959;0.0386
Example;7;44167;9128739;2590;-0.0903
Example;7;9128802;25308657;6942;0.0787
Example;7;25312517;26730383;571;-0.1557
Example;7;26730425;159119220;38807;0.0397
Example;8;168484;39323429;13618;0.0303
Example;8;39369769;146292734;27138;0.0428
Example;9;192129;5337682;2742;-9.00E-04
Example;9;5346152;18164545;4844;0.1072
Example;9;18166899;141025328;24657;-0.0017
Example;10;95662;135426536;37535;0.7844
Example;11;198510;36460161;12917;0.7801
Example;11;36461221;44490237;2712;0.9245
Example;11;44492366;80903615;7328;0.7427
Example;11;80904468;81205075;147;-0.2782
Example;11;81205211;81702506;232;0.4563
Example;11;81704900;82385718;248;-1.8179
Example;11;82398793;83362477;289;-0.1464
Example;11;83365696;83470594;26;-2.4611
Example;11;83478357;83510700;19;0.5479
Example;11;83512154;118123517;11399;-2.2982
Example;11;118127051;134942626;6025;0.6909
Example;12;161382;133778166;35529;0.7093
Example;13;19438807;115095705;29271;-0.1657
Example;14;20511673;107285437;28550;0.0284
Example;15;22752399;39072447;5792;0.0507
Example;15;39089253;39255626;88;-0.9548
Example;15;39261250;39456502;141;0.0111
Example;15;39462304;40070173;336;-0.9766
Example;15;40070258;61744257;6962;0.0404
Example;15;61745032;70039200;2427;-0.2055
Example;15;70049424;102429049;10644;-0.0105
Example;16;89561;28975712;8742;2.8306
Example;16;28988269;35220544;476;2.0525
Example;16;46464489;46834940;59;0.381
Example;16;46842785;55564797;2334;-0.8306
Example;16;55567712;58625717;838;2.519
Example;16;58678335;90163275;9597;-1.0302
Example;17;18901;81041938;18572;0.7361
Example;18;136305;603438;218;-0.2405
Example;18;603600;2667541;714;-0.5666
Example;18;2669636;8119784;1806;-0.1649
Example;18;8121595;77122434;18962;0.0504
Example;18;77122597;78014582;204;-0.1697
Example;19;260912;19993293;2875;0.6436
Example;19;19997600;34197618;3187;0.8104
Example;19;34207153;59097752;5448;0.6788
Example;20;61795;62913996;16879;0.7802
Example;21;14386013;48084820;10750;-0.0509
Example;22;16877135;51177928;9072;0.7636
Example;23;169805;39731139;9496;-0.912
Example;23;39739274;95236371;6843;-0.7494
Example;23;95241446;95675435;100;-0.1183
Example;23;95676236;135677710;6502;-0.8141
